sample	Pop	Count_LinesInFile	Count_HomDer_Calls	Count_Het_Calls	Count_HomAnc_Calls	Total_DerAlleles	Count_HomDerSyn_Calls	Count_HomDerNonSyn_Calls	Count_HomDerLOF_Calls	Count_HetSyn_Calls	Count_HetNonSyn_Calls	Count_HetLOF_Calls	Total_DerAlleles_SYN	Total_DerAlleles_NONSYN	Total_DerAlleles_LOF	Ct_Lines_HomDerNoGERPScore	Ct_Lines_HetNoGERPScore	GERPScore_AllDerAlleles	GERPScore_HomDerSites	av_GERP_Total_DerAlleles	av_GERP_Total_HomDer_Sites	Ct_NONSYNDeralleles_GERPmt4	Ct_SYNDeralleles_GERPlt2	Count_SYN_homder_calls_GERPlt2	Count_NON_homder_calls_GERPmt4	Count_SYN_het_calls_GERPlt2	Count_NON_het_calls_GERPmt4	count_LOF_site_called	count_syn_site_called	count_nonsyn_site_called	count_LOF_site_called	count_synlt2_site_called	count_nonsynmt4_site_called
CR004_465	CR	693279	9737	7565	675977	27039	5850	3866	21	4093	3447	25	15793	11179	67	0	0.0	-26657.57	-11548.681	-0.985966268447	-1.18618334018	2985	12011	4494	935	3023	1115	8612	262729	421938	8612	185273	219007
CR004_467	CR	693279	9346	8283	675650	26975	5649	3681	16	4502	3748	33	15800	11110	65	0	1.0	-27486.654	-11268.358	-1.01908104701	-1.20581680043	2998	12040	4343	913	3354	1172	8612	262729	421938	8612	185273	219007
CR004_483	CR	693279	9298	8413	675568	27009	5623	3658	17	4677	3711	25	15923	11027	59	0	0.0	-27623.106	-11499.998	-1.0228128263	-1.23695794342	2909	12150	4351	878	3448	1153	8612	262729	421938	8612	185273	219007
CR004_486	CR	693279	9357	8377	675545	27091	5602	3734	21	4645	3713	19	15849	11181	61	0	1.0	-27260.52	-11340.162	-1.00636887183	-1.21207374947	2973	12039	4308	917	3423	1139	8612	262729	421938	8612	185273	219007
CR004_487	CR	693279	9524	8104	675651	27152	5735	3770	19	4395	3684	25	15865	11224	63	0	2.0	-27397.158	-11649.563	-1.00917776632	-1.22330809619	2973	12088	4423	951	3242	1071	8612	262729	421938	8612	185273	219007
CR004_488	CR	693279	9404	8209	675666	27017	5661	3724	19	4465	3724	20	15787	11172	58	0	0.0	-27220.314	-11739.981	-1.00767460112	-1.24866847479	2984	12044	4396	912	3252	1160	8612	262729	421938	8612	185273	219007
CR004_489	CR	693279	9421	8177	675681	27019	5673	3727	21	4516	3637	24	15862	11091	66	0	1.0	-27099.336	-11649.77	-1.00308469055	-1.2367059448	2931	12060	4377	898	3306	1135	8612	262729	421938	8612	185273	219007
CR004_490	CR	693279	9244	8513	675522	27001	5609	3619	16	4579	3901	33	15797	11139	65	0	2.0	-27326.318	-11471.046	-1.01219831833	-1.24105225576	3010	12070	4343	910	3384	1190	8612	262729	421938	8612	185273	219007
CR004_493	CR	693279	9432	8206	675641	27070	5683	3732	17	4491	3688	27	15857	11152	61	0	0.0	-27208.35	-11413.395	-1.0051850894	-1.21019987276	2940	12117	4388	921	3341	1098	8612	262729	421938	8612	185273	219007
CR004_506	CR	693279	9251	8649	675379	27151	5591	3635	25	4702	3918	29	15884	11188	79	0	2.0	-27457.011	-11659.96	-1.01141971489	-1.26053621622	3006	12154	4337	897	3480	1212	8612	262729	421938	8612	185273	219007
CR004_520	CR	693279	9312	8415	675552	27039	5612	3680	20	4640	3750	25	15864	11110	65	0	1.0	-27333.995	-11626.027	-1.01102215564	-1.24863355171	2956	12128	4372	902	3384	1152	8612	262729	421938	8612	185273	219007
CR004_540	CR	693279	9464	8249	675566	27177	5697	3747	20	4512	3714	23	15906	11208	63	0	1.0	-27614.885	-11755.132	-1.01622451608	-1.24222043749	2991	12175	4439	931	3297	1129	8612	262729	421938	8612	185273	219007
CR004_678	CR	693279	9440	8213	675626	27093	5699	3719	22	4496	3686	31	15894	11124	75	0	1.0	-26764.75	-11578.469	-0.987993724622	-1.22666267613	3018	12140	4423	906	3294	1206	8612	262729	421938	8612	185273	219007
CR004_681	CR	693279	9335	8382	675562	27052	5679	3637	19	4550	3800	32	15908	11074	70	0	1.0	-26890.224	-11621.006	-0.994130060261	-1.2450188558	2980	12132	4398	886	3336	1208	8612	262729	421938	8612	185273	219007
CR004_723	CR	693279	9382	8379	675518	27143	5584	3779	19	4661	3684	34	15829	11242	72	0	1.0	-26123.426	-10831.305	-0.962543330877	-1.15460025584	3047	12047	4297	958	3453	1131	8612	262729	421938	8612	185273	219007
CR004_728	CR	693279	9402	8253	675624	27057	5639	3745	18	4514	3712	27	15792	11202	63	0	1.0	-27318.407	-11456.386	-1.00977330524	-1.21863482608	2967	12053	4363	906	3327	1155	8612	262729	421938	8612	185273	219007
CR004_782	CR	693279	9521	8075	675683	27117	5788	3713	20	4383	3667	25	15959	11093	65	0	0.0	-27706.61	-12032.576	-1.02181855062	-1.26392605042	2922	12204	4490	899	3224	1124	8612	262729	421938	8612	185273	219007
CR004_787	CR	693279	9414	8125	675740	26953	5644	3751	19	4430	3665	30	15718	11167	68	0	1.0	-26603.645	-11209.945	-0.987148237477	-1.19090035058	3009	11977	4349	931	3279	1147	8612	262729	421938	8612	185273	219007
CR004_794	CR	693279	9212	8558	675509	26982	5569	3619	24	4663	3875	20	15801	11113	68	0	1.0	-26588.333	-11224.761	-0.98551958931	-1.21862566497	2992	12051	4300	902	3451	1188	8612	262729	421938	8612	185273	219007
CR004_795	CR	693279	9318	8304	675657	26940	5610	3692	16	4598	3678	28	15818	11062	60	0	1.0	-27745.134	-11432.139	-1.03000089097	-1.22701931952	2951	12085	4347	917	3391	1117	8612	262729	421938	8612	185273	219007
CR004_846	CR	693279	9550	7888	675841	26988	5780	3749	21	4299	3557	32	15859	11055	74	0	0.0	-27634.846	-11917.253	-1.02411970056	-1.24814128613	2950	12120	4470	940	3180	1070	8612	262729	421938	8612	185273	219007
